STRUCTURE,STRUCTURE_ID,freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_GELO,PC_ENT,AT,2023,57.9,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_GELO,PC_ENT,BA,2023,43.2,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_GELO,PC_ENT,BE,2023,74.5,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_GELO,PC_ENT,BG,2023,28.4,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_GELO,PC_ENT,CY,2023,67.3,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_GELO,PC_ENT,CZ,2023,49.3,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_GELO,PC_ENT,DE,2023,61.4,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_GELO,PC_ENT,DK,2023,75.3,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_GELO,PC_ENT,EA,2023,59.8,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_GELO,PC_ENT,EE,2023,55.9,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_GELO,PC_ENT,EL,2023,43.3,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_GELO,PC_ENT,ES,2023,60.5,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_GELO,PC_ENT,EU27_2020,2023,57.7,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_GELO,PC_ENT,FI,2023,85.6,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_GELO,PC_ENT,FR,2023,52.0,b
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_GELO,PC_ENT,HR,2023,56.0,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_GELO,PC_ENT,HU,2023,53.2,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_GELO,PC_ENT,IE,2023,66.1,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_GELO,PC_ENT,IT,2023,60.7,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_GELO,PC_ENT,LT,2023,60.0,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_GELO,PC_ENT,LU,2023,57.8,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_GELO,PC_ENT,LV,2023,48.2,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_GELO,PC_ENT,ME,2023,63.9,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_GELO,PC_ENT,MT,2023,76.5,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_GELO,PC_ENT,NL,2023,78.6,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_GELO,PC_ENT,NO,2023,80.4,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_GELO,PC_ENT,PL,2023,50.0,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_GELO,PC_ENT,PT,2023,53.6,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_GELO,PC_ENT,RO,2023,26.8,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_GELO,PC_ENT,RS,2023,49.2,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_GELO,PC_ENT,SE,2023,79.9,b
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_GELO,PC_ENT,SI,2023,50.4,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_GELO,PC_ENT,SK,2023,42.2,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,AT,2021,21.8,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,AT,2023,19.6,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,BA,2021,6.1,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,BA,2023,11.0,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,BE,2021,25.0,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,BE,2023,32.6,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,BG,2021,7.3,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,BG,2023,7.6,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,CY,2021,22.2,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,CY,2023,25.2,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,CZ,2021,16.0,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,CZ,2023,15.2,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,DE,2021,20.2,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,DE,2023,20.9,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,DK,2021,33.1,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,DK,2023,31.1,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,EA,2021,19.1,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,EA,2023,20.3,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,EE,2021,16.0,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,EE,2023,17.6,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,EL,2021,14.8,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,EL,2023,12.9,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,ES,2021,21.4,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,ES,2023,21.0,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,EU27_2020,2021,18.2,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,EU27_2020,2023,19.6,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,FI,2021,36.0,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,FI,2023,38.9,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,FR,2021,12.2,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,FR,2023,14.9,b
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,HR,2021,16.1,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,HR,2023,19.5,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,HU,2021,9.4,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,HU,2023,17.3,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,IE,2021,23.0,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,IE,2023,24.2,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,IT,2021,17.3,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,IT,2023,18.5,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,LT,2021,16.8,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,LT,2023,17.8,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,LU,2021,18.5,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,LU,2023,19.9,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,LV,2021,11.1,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,LV,2023,16.0,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,ME,2021,15.9,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,ME,2023,21.4,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,MK,2021,7.1,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,MT,2021,29.6,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,MT,2023,33.6,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,NL,2021,33.5,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,NL,2023,36.3,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,NO,2021,31.0,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,NO,2023,33.2,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,PL,2021,11.1,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,PL,2023,16.1,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,PT,2021,15.4,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,PT,2023,16.6,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,RO,2021,5.0,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,RO,2023,7.4,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,RS,2021,10.2,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,RS,2023,12.5,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,SE,2021,37.8,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,SE,2023,32.9,b
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,SI,2021,19.4,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,SI,2023,17.3,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,SK,2021,13.3,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_HI,PC_ENT,SK,2023,13.1,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,AT,2021,37.3,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,AT,2023,33.5,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,BA,2021,25.1,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,BA,2023,30.7,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,BE,2021,38.6,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,BE,2023,33.6,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,BG,2021,17.2,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,BG,2023,19.3,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,CY,2021,41.4,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,CY,2023,37.6,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,CZ,2021,33.5,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,CZ,2023,30.0,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,DE,2021,35.0,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,DE,2023,35.6,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,DK,2021,37.4,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,DK,2023,38.4,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,EA,2021,35.7,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,EA,2023,34.9,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,EE,2021,36.1,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,EE,2023,34.5,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,EL,2021,21.5,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,EL,2023,27.7,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,ES,2021,35.2,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,ES,2023,33.6,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,EU27_2020,2021,33.9,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,EU27_2020,2023,33.8,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,FI,2021,36.4,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,FI,2023,35.2,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,FR,2021,34.3,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,FR,2023,34.3,b
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,HR,2021,30.2,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,HR,2023,31.9,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,HU,2021,23.7,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,HU,2023,32.3,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,IE,2021,36.9,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,IE,2023,35.6,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,IT,2021,41.0,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,IT,2023,39.3,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,LT,2021,36.5,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,LT,2023,38.5,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,LU,2021,33.6,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,LU,2023,34.5,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,LV,2021,25.4,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,LV,2023,28.1,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,ME,2021,27.2,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,ME,2023,38.1,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,MK,2021,19.5,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-249,C10-S951_X_K,E_DI3_LO,PC_ENT,MT,2021,33.8,
