freq,unit,age,geo\TIME_PERIOD	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,THS_PER,Y15-34,BE	67.8 e	66.0 be	67.5 e	73.0 e	75.2 e	75.1 e	77.3 e	66.7 be	71.1 	65.4 	68.9 	62.9 	68.0 	77.9 b	85.9 	85.9 	84.0 	90.5 b	88.6 
A,THS_PER,Y15-34,BG	22.7 e	26.4 be	29.6 e	31.7 e	32.8 be	32.0 e	34.6 be	32.5 be	35.1 e	37.0 e	34.9 e	39.8 e	42.9 e	47.8 e	50.6 e	47.9 e	42.9 	44.9 b	47.8 
A,THS_PER,Y15-34,CH	: 	: 	: 	: 	: 	: 	: 	68.6 be	76.6 	78.2 	84.3 	80.0 e	85.1 	81.4 	86.6 e	99.2 e	99.6 	98.7 b	99.0 
A,THS_PER,Y15-34,CY	3.6 e	4.1 be	4.3 e	5.4 e	4.8 e	4.2 be	4.2 e	4.1 be	4.8 e	4.5 e	4.3 e	4.4 e	4.4 e	4.9 	5.2 e	4.6 e	5.0 	7.5 b	9.8 e
A,THS_PER,Y15-34,CZ	77.2 e	83.0 be	92.9 e	96.6 e	109.2 e	105.6 e	106.8 be	78.0 b	74.5 e	78.7 	71.1 e	68.9 e	77.9 e	75.2 e	77.6 e	78.9 	76.5 	79.7 b	78.4 
A,THS_PER,Y15-34,DE	443.7 e	474.5 be	470.4 be	490.2 e	516.6 e	523.4 e	549.6 be	437.6 be	490.6 b	508.9 	509.3 	530.1 	553.9 	559.3 	590.2 	618.3 	749.4 b	753.7 b	816.7 
A,THS_PER,Y15-34,DK	34.6 e	39.8 be	41.0 e	40.9 e	43.7 be	41.9 e	37.1 e	30.7 be	32.8 e	35.6 e	32.8 e	33.5 e	38.5 be	41.5 be	45.1 e	48.5 e	48.0 e	57.3 be	63.9 
A,THS_PER,Y15-34,EE	5.7 u	6.3 be	9.5 e	11.1 e	10.7 e	9.6 e	11.1 e	11.2 be	11.4 e	14.2 e	13.3 e	13.4 	15.6 e	17.6 e	19.3 	19.4 	18.8 e	19.1 be	23.9 e
A,THS_PER,Y15-34,EL	59.9 be	59.0 be	58.6 e	61.5 e	59.0 e	60.6 be	59.7 e	28.9 be	25.7 e	26.5 e	23.8 e	21.2 e	23.6 e	25.4 e	27.2 e	23.7 e	24.9 e	28.3 b	35.3 
A,THS_PER,Y15-34,ES	272.1 e	296.0 be	327.1 be	345.0 e	335.1 e	298.3 e	291.8 e	262.8 be	231.6 e	215.0 e	213.6 e	196.0 e	198.3 e	212.2 e	231.0 e	238.9 e	238.7 e	264.0 bd	304.1 d
A,THS_PER,Y15-34,EU27_2020	2451.7 e	2653.3 be	2791.1 e	2840.5 e	2896.7 e	2849.1 e	2782.4 e	2263.2 be	2269.6 e	2315.1 e	2346.1 e	2380.9 e	2477.4 e	2577.3 e	2705.4 e	2863.8 e	3059.7 e	3228.7 be	3439.2 e
A,THS_PER,Y15-34,FI	56.3 e	58.4 be	58.8 e	61.8 be	60.2 be	54.4 e	53.8 e	54.5 be	54.7 	54.0 	47.7 e	46.4 	46.5 	50.8 	52.5 	57.4 	55.4 	60.9 be	65.4 
A,THS_PER,Y15-34,FR	426.7 e	470.6 be	487.5 be	439.1 e	443.7 e	449.9 e	449.9 e	274.0 be	246.9 e	287.1 b	317.7 b	351.6 	350.2 	374.6 	387.5 	447.8 	443.0 e	457.7 bd	441.3 d
A,THS_PER,Y15-34,HR	10.7 u	10.9 bu	11.2 bu	17.7 e	23.7 e	23.4 e	18.3 e	16.1 be	17.7 e	18.1 e	22.2 e	19.2 e	21.5 e	24.0 e	27.8 e	23.3 e	32.2 e	30.1 be	28.5 e
A,THS_PER,Y15-34,HU	78.7 e	76.4 be	85.1 e	82.3 e	82.8 e	69.6 e	67.3 e	49.8 b	56.5 e	60.8 e	58.8 e	53.3 	57.0 	55.9 	52.5 e	56.1 e	64.9 e	62.8 be	68.9 e
A,THS_PER,Y15-34,IE	37.7 e	37.1 be	37.3 e	41.6 be	39.5 e	36.7 e	35.2 e	33.6 be	33.0 e	32.0 e	34.5 e	33.1 e	36.8 e	37.2 be	37.5 e	40.1 e	46.0 e	54.4 be	56.2 e
A,THS_PER,Y15-34,IS	: 	: 	: 	: 	: 	: 	: 	2.1 be	1.8 e	2.2 e	2.5 e	3.0 e	3.5 e	3.7 e	2.9 e	2.6 e	3.1 be	2.8 be	3.8 e
A,THS_PER,Y15-34,IT	282.7 be	283.8 be	283.8 e	266.0 e	260.6 e	259.6 e	244.4 e	225.7 be	211.5 e	195.9 e	191.7 e	188.0 e	185.2 e	185.4 e	194.5 e	207.7 e	224.2 e	230.7 be	253.8 e
A,THS_PER,Y15-34,LT	12.3 u	10.4 bu	9.0 u	10.6 u	12.3 u	11.3 	12.1 	11.9 be	10.9 e	11.1 e	13.0 e	15.5 e	17.3 e	19.9 e	20.5 e	21.9 e	21.7 e	29.5 be	33.3 e
A,THS_PER,Y15-34,LU	3.2 e	3.3 be	2.5 e	2.5 be	3.1 e	4.2 be	3.0 e	2.7 be	3.3 e	2.6 e	3.8 e	4.1 be	4.0 	5.2 e	6.8 e	6.8 e	7.3 	7.9 b	9.1 e
A,THS_PER,Y15-34,LV	11.7 e	12.6 be	12.1 e	13.9 e	14.3 e	12.7 e	12.5 e	12.7 be	10.7 e	12.0 e	12.1 e	12.2 e	12.0 e	12.9 e	11.2 e	13.5 e	17.5 e	16.5 be	21.0 e
A,THS_PER,Y15-34,ME	: 	: 	: 	: 	: 	: 	: 	1.5 bu	2.0 e	1.8 u	2.2 e	1.8 u	2.0 e	2.4 e	2.0 e	2.6 e	2.2 e	: 	: 
A,THS_PER,Y15-34,MK	: 	: 	: 	: 	: 	: 	: 	4.3 be	4.9 	5.0 	5.6 e	6.3 e	7.3 e	6.2 e	7.4 e	8.9 	10.1 e	: 	: 
A,THS_PER,Y15-34,MT	4.9 be	4.4 be	4.0 e	5.7 e	5.4 e	4.6 e	4.8 e	4.1 be	3.9 e	3.7 e	3.7 e	4.2 e	5.1 e	5.7 e	6.5 	6.3 e	6.4 e	7.6 be	7.4 e
A,THS_PER,Y15-34,NL	130.8 e	121.7 b	115.7 b	113.8 e	121.4 	114.1 	113.5 e	128.8 be	128.7 	133.4 b	133.9 	135.4 	143.8 	148.9 	163.2 	174.5 	191.5 	230.5 be	255.5 
A,THS_PER,Y15-34,NO	: 	: 	: 	: 	: 	: 	: 	33.8 be	33.8 e	37.3 	37.2 e	37.4 e	35.6 e	39.2 e	41.9 	45.6 e	49.3 e	50.1 be	57.0 e
A,THS_PER,Y15-34,PL	159.4 be	187.5 be	222.9 e	246.6 e	254.0 e	276.2 e	240.0 be	197.2 be	210.0 	209.3 	211.0 e	208.7 e	231.7 e	230.7 	224.2 	232.3 	237.8 	245.0 b	241.9 
A,THS_PER,Y15-34,PT	63.3 e	67.6 be	71.0 e	73.9 e	72.2 e	76.0 e	72.7 e	41.3 be	41.8 e	43.1 e	56.2 e	51.0 e	50.3 e	50.0 e	60.5 e	69.7 e	70.6 e	83.3 be	90.1 
A,THS_PER,Y15-34,RO	: 	52.8 be	75.4 e	89.0 e	90.1 e	86.9 e	67.8 be	63.0 be	67.8 e	70.9 e	72.7 	83.2 e	81.4 e	87.8 e	90.9 e	94.4 e	95.1 e	96.4 be	105.2 e
A,THS_PER,Y15-34,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	14.0 e	18.0 be	23.3 e	24.7 e	25.6 e	29.6 e	35.8 e	40.2 e	41.2 b	42.6 e
A,THS_PER,Y15-34,SE	87.6 e	91.8 be	91.4 e	96.2 e	96.8 e	92.1 e	90.6 e	83.0 b	86.8 	84.8 	85.1 	88.4 	93.6 e	104.9 e	109.7 b	114.8 	120.9 e	134.1 b	154.4 e
A,THS_PER,Y15-34,SI	15.2 e	14.6 be	15.7 e	15.3 e	17.6 e	18.5 e	17.4 e	14.1 b	12.4 	14.0 	13.2 e	13.7 e	11.4 e	12.8 	14.5 e	14.1 e	17.1 e	16.1 be	15.0 
A,THS_PER,Y15-34,SK	31.4 e	37.3 be	46.3 e	48.5 e	47.3 e	43.5 e	42.2 e	35.0 be	31.4 	31.6 	33.2 e	34.0 	34.2 e	31.7 e	39.4 e	41.7 	41.9 e	43.1 be	44.7 e
A,THS_PER,Y15-34,TR	: 	: 	: 	: 	: 	: 	: 	150.9 be	196.5 be	197.5 e	199.7 be	212.7 e	222.2 e	225.5 e	222.8 e	211.3 e	211.8 e	: 	: 
A,THS_PER,Y15-34,UK	: 	: 	: 	: 	: 	: 	: 	504.3 be	527.3 e	532.2 e	559.9 e	570.9 e	586.9 e	585.5 e	629.3 e	646.5 e	: 	: 	: 
A,THS_PER,Y35-74,AT	55.1 be	58.7 be	65.4 e	67.4 be	68.5 e	73.7 e	75.6 e	82.1 b	83.2 	87.7 	85.8 	98.8 	106.2 	110.9 	118.0 	109.2 	115.4 	115.2 b	141.5 
A,THS_PER,Y35-74,BE	77.5 e	83.4 be	90.7 e	107.6 e	100.9 e	108.8 e	123.5 e	114.9 be	123.8 	123.9 	123.5 	125.5 	125.8 	150.7 b	158.9 	153.0 	156.8 	181.6 b	188.9 
A,THS_PER,Y35-74,BG	41.1 e	39.6 be	43.8 e	47.2 e	48.1 be	45.9 e	40.9 be	34.4 be	37.3 e	38.3 e	39.7 e	48.5 e	48.9 e	48.8 e	53.1 e	53.7 	60.5 	63.1 b	73.1 e
A,THS_PER,Y35-74,CH	: 	: 	: 	: 	: 	: 	: 	115.3 b	127.2 	129.3 	129.3 	135.5 	141.8 	141.5 	147.2 	157.4 	154.5 	157.1 b	168.0 
A,THS_PER,Y35-74,CY	3.7 e	3.9 be	3.9 e	4.6 e	5.1 e	5.0 be	5.5 e	5.7 be	5.1 e	5.5 e	5.8 e	5.3 e	5.6 e	6.0 	7.7 	6.8 	7.8 	9.1 b	10.8 
A,THS_PER,Y35-74,CZ	83.4 e	93.9 be	95.9 e	113.3 e	118.9 e	120.2 e	119.1 be	92.4 b	89.8 	103.7 	113.9 	108.4 	111.0 	114.1 	134.1 	134.9 	143.2 	160.9 b	154.5 
A,THS_PER,Y35-74,DE	747.5 e	843.4 be	864.9 be	873.2 e	894.3 e	897.1 e	918.6 be	758.9 be	862.8 b	888.3 	908.7 	935.5 	987.2 	996.6 	1032.5 	1068.7 	1184.5 b	1259.5 b	1297.2 
A,THS_PER,Y35-74,DK	83.9 e	72.9 be	85.2 e	86.7 e	90.1 be	85.1 e	89.9 e	82.8 be	90.8 e	90.5 e	88.3 e	87.9 e	95.2 be	97.4 be	94.6 e	98.7 e	103.3 e	104.7 b	107.0 
A,THS_PER,Y35-74,EE	14.3 e	9.6 be	9.9 e	11.1 e	13.6 e	13.2 e	12.1 e	9.9 b	12.0 	12.0 	11.6 	13.2 e	17.5 e	16.8 	16.3 	18.8 	21.6 e	21.2 b	20.9 
A,THS_PER,Y35-74,EL	63.7 be	65.2 be	67.3 e	68.3 e	69.4 e	68.0 be	69.6 e	44.5 be	43.5 e	43.9 e	36.6 e	36.5 e	43.3 e	51.0 e	58.0 e	56.3 e	55.6 e	65.1 b	67.9 
A,THS_PER,Y35-74,ES	244.5 e	261.9 be	272.9 be	298.0 e	310.7 e	317.9 e	343.2 e	315.6 be	328.4 e	341.1 e	346.6 e	371.4 e	414.7 e	443.3 e	465.5 e	492.8 e	502.9 e	542.4 bd	572.7 d
A,THS_PER,Y35-74,EU27_2020	3214.9 e	3433.0 be	3613.1 e	3752.5 e	3864.2 e	3921.7 e	4012.7 e	3408.2 be	3675.2 e	3832.7 e	3989.7 e	4172.4 e	4439.0 e	4606.4 e	4871.7 e	4996.3 e	5369.2 e	5704.8 be	5940.5 e
A,THS_PER,Y35-74,FI	67.1 e	71.9 be	76.4 e	76.8 be	77.7 be	81.6 e	86.5 e	87.2 b	96.6 	101.9 	105.4 	109.4 	114.1 	115.2 	116.8 	117.0 	136.0 	127.2 b	132.5 
A,THS_PER,Y35-74,FR	554.9 e	548.2 be	569.9 be	577.1 e	587.9 e	600.6 e	604.6 e	428.0 be	443.3 e	481.5 b	535.7 b	555.1 	618.5 	643.3 	673.7 	683.8 	777.2 	781.1 bd	777.3 de
A,THS_PER,Y35-74,HR	15.9 u	18.4 bu	20.1 bu	18.4 e	18.1 e	17.5 e	18.6 e	23.3 be	21.6 e	20.6 e	21.7 e	24.3 e	31.6 e	30.5 e	30.7 e	32.4 e	30.8 e	31.0 be	36.3 e
A,THS_PER,Y35-74,HU	91.8 e	86.0 be	83.3 e	85.8 e	87.0 e	88.2 e	93.5 e	52.1 b	67.2 	76.1 	85.6 	99.3 	101.1 	101.8 	113.3 	97.1 	105.9 e	119.3 be	125.1 e
A,THS_PER,Y35-74,IE	32.0 e	32.3 be	33.3 e	37.2 be	39.4 e	41.1 e	43.5 e	55.7 be	57.1 e	60.1 e	60.5 e	62.2 e	68.2 e	71.6 be	69.6 e	72.9 e	83.8 e	95.2 be	101.4 e
A,THS_PER,Y35-74,IS	: 	: 	: 	: 	: 	: 	: 	4.0 be	3.9 e	4.6 e	4.8 e	5.1 e	5.1 e	5.4 e	5.7 e	6.0 e	6.0 be	5.0 be	5.2 e
A,THS_PER,Y35-74,IT	370.3 be	384.8 be	418.2 e	441.1 e	463.5 e	477.9 e	470.4 e	452.2 be	494.7 e	521.1 e	532.6 e	542.9 e	574.2 e	589.1 e	627.5 e	612.6 e	604.8 e	618.7 be	645.2 e
A,THS_PER,Y35-74,LT	13.3 u	12.4 bu	11.5 u	14.2 u	15.0 u	12.8 	10.7 	11.7 be	14.2 e	13.4 e	11.2 e	12.5 e	17.0 	17.1 	17.0 	20.1 e	22.9 	23.0 b	28.4 
A,THS_PER,Y35-74,LU	4.2 e	4.7 be	4.1 e	4.9 be	6.5 e	5.9 b	7.3 	7.2 b	8.5 	8.9 	8.9 	8.7 b	9.5 e	8.9 	10.0 e	11.0 e	11.3 e	12.6 b	15.1 
A,THS_PER,Y35-74,LV	15.4 e	16.6 be	15.4 e	14.1 e	14.9 e	12.0 e	11.3 e	8.8 be	8.6 e	9.4 e	10.4 e	12.1 e	12.0 e	12.3 e	11.7 e	14.4 e	14.6 e	16.3 b	18.6 
A,THS_PER,Y35-74,ME	: 	: 	: 	: 	: 	: 	: 	2.0 be	1.8 u	2.8 e	2.8 e	3.5 e	2.7 e	3.0 e	2.6 e	2.0 e	3.4 e	: 	: 
A,THS_PER,Y35-74,MK	: 	: 	: 	: 	: 	: 	: 	4.4 be	3.6 e	3.9 e	5.2 e	6.3 e	5.7 e	5.8 e	4.9 e	6.3 e	8.3 e	: 	: 
A,THS_PER,Y35-74,MT	3.0 bu	2.9 be	2.2 e	3.4 e	3.3 e	3.0 e	2.9 	1.6 be	2.1 e	2.4 e	3.1 	3.3 	3.1 e	3.8 	5.0 	5.6 	5.0 e	5.2 be	6.4 
A,THS_PER,Y35-74,NL	197.0 	188.7 b	186.4 b	186.9 	192.7 	202.2 	212.7 	248.9 be	248.7 	253.9 b	260.5 	279.0 	283.5 	285.0 	305.7 	330.1 	335.6 	390.8 b	429.5 
A,THS_PER,Y35-74,NO	: 	: 	: 	: 	: 	: 	: 	76.6 b	80.0 	80.7 	81.9 e	80.8 e	76.8 e	83.0 e	80.9 e	81.0 e	87.4 e	98.9 be	89.8 
A,THS_PER,Y35-74,PL	182.4 be	180.6 be	189.1 e	202.5 e	218.9 e	223.2 e	230.2 be	157.7 b	183.2 	194.0 	202.5 	216.0 e	201.1 e	221.3 	262.1 	278.6 	316.9 e	341.5 be	358.8 
A,THS_PER,Y35-74,PT	51.8 e	54.7 be	61.5 e	64.8 e	59.3 e	63.8 e	69.0 e	48.3 be	52.6 e	60.6 e	79.9 e	79.5 e	85.9 e	82.6 e	85.8 e	100.6 e	116.0 e	142.1 b	129.6 
A,THS_PER,Y35-74,RO	: 	70.7 be	109.5 e	108.7 e	108.8 e	104.4 e	93.8 be	62.1 be	71.6 e	66.8 e	67.7 e	78.1 	86.5 	97.7 	99.7 	103.4 e	108.3 	106.8 b	110.0 e
A,THS_PER,Y35-74,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	29.0 e	32.1 b	33.5 e	37.3 e	38.5 	38.6 	38.7 e	39.1 e	52.7 b	55.7 
A,THS_PER,Y35-74,SE	157.5 e	175.9 be	178.0 e	182.8 e	194.2 e	194.9 e	198.2 e	175.3 b	183.2 	182.4 	191.8 	205.3 	217.4 	228.2 	236.8 b	245.6 e	258.9 e	273.0 b	294.7 
A,THS_PER,Y35-74,SI	14.5 e	19.4 be	19.4 e	18.0 e	18.9 e	18.1 e	18.6 e	19.0 b	18.4 e	16.5 e	19.1 	19.4 e	20.8 	23.3 e	24.6 e	24.4 e	25.4 e	30.4 b	29.8 
A,THS_PER,Y35-74,SK	29.1 e	32.3 be	35.0 e	38.3 e	38.7 e	39.7 e	42.8 e	27.9 b	27.0 	28.1 e	32.7 e	34.1 	39.1 	39.1 	42.7 e	53.9 	64.2 	67.7 b	67.5 
A,THS_PER,Y35-74,TR	: 	: 	: 	: 	: 	: 	: 	85.3 be	90.1 be	91.3 e	95.3 be	108.6 e	112.8 e	124.8 e	132.0 e	145.5 e	155.3 e	: 	: 
A,THS_PER,Y35-74,UK	: 	: 	: 	: 	: 	: 	: 	893.0 be	916.4 e	952.2 e	957.8 e	1067.7 e	1088.9 e	1075.0 e	1121.5 e	1169.8 e	: 	: 	: 
