freq,nace_r2,geo\TIME_PERIOD	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,C_ICT,AT	0.37 	0.28 	0.27 	0.29 	0.28 	: c	0.29 	0.29 	0.29 	0.31 b	0.31 	0.31 
A,C_ICT,BE	0.37 	0.27 	0.18 	0.17 	0.16 	0.15 	0.15 	0.14 	0.14 	0.13 b	0.15 	0.15 p
A,C_ICT,BG	0.12 	0.13 	0.15 	0.14 	0.14 	0.15 	0.16 	0.16 	0.16 	0.17 b	0.14 	0.13 
A,C_ICT,CH	0.78 	0.73 b	0.68 	0.69 d	0.68 	0.67 	0.58 	0.56 	0.51 d	0.52 	0.52 	0.54 
A,C_ICT,CY	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,C_ICT,CZ	0.67 	0.57 	0.58 	0.54 	0.48 	0.46 	0.46 	0.47 	0.47 	0.45 	0.44 	0.45 
A,C_ICT,DE	0.34 	0.33 	0.33 	0.32 	0.32 	0.31 	0.31 	0.3 	0.3 	0.33 b	0.33 p	0.3 p
A,C_ICT,DK	0.22 	0.21 	0.27 	: c	: c	: c	: c	: c	: c	0.15 	0.16 	0.15 
A,C_ICT,EE	0.83 	0.83 	0.86 	0.82 	0.85 	0.81 	0.78 	0.77 	0.79 	0.79 b	0.78 	: c
A,C_ICT,EL	: c	: c	0.03 	0.04 	0.03 	0.04 	0.03 	0.04 	0.03 	0.03 b	0.03 	0.03 p
A,C_ICT,ES	0.1 	0.11 	0.09 	0.08 	0.08 	0.08 	: c	: c	: c	0.08 b	: c	: c
A,C_ICT,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.27 	0.27 
A,C_ICT,FI	1.22 	1.12 	1.01 	0.91 	: c	: c	0.64 	: c	0.45 b	0.45 	0.44 	0.44 
A,C_ICT,FR	: 	0.29 	0.29 	0.28 	0.26 	0.24 b	0.25 b	0.24 be	0.22 be	0.31 	0.32 	0.33 
A,C_ICT,HR	0.25 	0.22 	0.21 	0.12 	0.25 	0.24 	0.26 	0.26 	0.26 	0.26 	0.11 b	0.12 
A,C_ICT,HU	1.21 	1.35 	1.37 	1.2 	1.09 	0.89 	0.89 	0.93 	0.95 	0.92 b	0.93 	0.84 
A,C_ICT,IE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,C_ICT,IT	0.32 	0.3 	0.3 	0.29 	0.26 	0.23 	0.22 	0.22 	0.22 b	0.22 	0.22 	: c
A,C_ICT,LT	: c	0.2 	0.18 	0.16 	0.12 	0.13 	0.12 	0.12 	0.15 	0.13 b	0.14 	0.15 
A,C_ICT,LU	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,C_ICT,LV	0.1 	0.1 	0.1 	0.12 	0.12 	0.14 	0.14 	0.16 	0.17 	0.18 	0.19 	0.19 
A,C_ICT,MK	: 	: 	: 	: 	: 	: 	: 	0.19 p	: c	: c	: c	: 
A,C_ICT,MT	: c	: c	: c	: c	: c	: c	: c	: c	: c	0.93 	: c	0.84 
A,C_ICT,NL	0.14 	0.13 	0.12 	0.11 	0.11 	0.12 	0.11 	0.11 	0.1 	0.11 	0.11 	0.1 
A,C_ICT,NO	0.16 	0.15 	0.14 	0.12 	0.11 	0.11 	0.11 	0.11 	0.11 	0.11 b	0.1 	0.11 
A,C_ICT,PL	0.3 	0.34 b	0.32 	0.3 	0.27 	0.27 	0.27 	0.26 	0.28 	0.28 b	0.27 	0.27 
A,C_ICT,PT	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	0.2 
A,C_ICT,RO	0.18 p	0.2 	0.23 	0.21 	0.21 	0.24 	0.25 	0.27 	0.29 	0.3 b	0.35 	0.33 
A,C_ICT,SE	: c	: c	: c	: c	: c	0.59 	: c	: c	: c	0.19 b	0.18 	0.22 
A,C_ICT,SI	: c	0.38 	0.37 	0.37 	0.36 	0.33 	0.34 	0.32 	0.32 	0.33 	0.33 	0.33 
A,C_ICT,SK	0.86 	0.83 	0.69 	0.64 	0.61 	0.57 	0.53 	0.52 	0.53 	0.53 	0.49 	0.46 
A,C_ICT,UK	0.21 	0.22 	0.21 	0.21 	0.22 	: c	0.16 	: c	: c	: c	: 	: 
A,G-U_ICT,AT	1.92 	1.99 	2.04 	2.09 	2.14 	2.19 	2.19 	2.26 	2.32 	2.33 b	2.39 	2.51 
A,G-U_ICT,BE	2.48 	2.56 	2.52 	2.5 	2.57 	2.48 	2.46 	2.51 	2.55 	2.72 b	2.82 	2.81 p
A,G-U_ICT,BG	1.59 	1.66 	1.74 	1.88 	1.98 	2.04 	2.21 	2.43 	2.55 	2.68 b	2.87 	3.07 
A,G-U_ICT,CH	2.51 	2.23 b	2.29 	2.43 d	2.47 	2.56 	2.47 	2.54 	2.6 d	2.64 	2.72 	2.86 
A,G-U_ICT,CY	1.67 	1.86 	1.87 	2 	2.12 	2.25 	2.25 	2.33 	2.41 p	2.65 p	2.89 p	3.07 p
A,G-U_ICT,CZ	2.09 	2.14 	2.2 	2.25 	2.28 	2.35 	2.39 	2.48 	2.6 	2.69 	2.81 	2.91 
A,G-U_ICT,DE	1.92 	1.92 	2.05 	2.03 	2.15 	2.29 	2.35 	2.44 	2.52 	2.83 b	2.81 p	2.82 p
A,G-U_ICT,DK	2.92 	3 	3.88 	3.86 	3.85 	3.78 	3.81 	3.25 b	3.28 	3.36 	3.44 	3.51 
A,G-U_ICT,EE	2.19 	2.26 	2.47 	2.6 	2.63 	2.77 	2.82 	2.92 	3.29 	3.51 b	3.97 	: c
A,G-U_ICT,EL	1.23 	1.21 b	1.26 	1.33 	1.2 	1.44 	1.41 	1.39 	1.41 	1.43 b	1.49 	1.59 p
A,G-U_ICT,ES	1.9 	1.93 	2.02 	2.13 	2.11 	2.13 	2.21 	2.29 	2.34 	2.4 b	2.45 	2.7 p
A,G-U_ICT,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.72 	2.84 
A,G-U_ICT,FI	2.82 	2.8 	2.83 	2.89 	: c	3.03 	3.06 	3.14 	3.28 b	3.34 	3.45 	3.62 
A,G-U_ICT,FR	: 	2.52 	2.56 	2.63 	2.59 	2.75 b	2.7 b	2.73 be	2.85 be	2.76 	2.78 	2.95 
A,G-U_ICT,HR	1.55 	1.73 	1.75 	1.81 	1.96 	2 	2.08 	2.13 	2.24 	2.31 	2.56 b	2.72 
A,G-U_ICT,HU	2.2 	2.3 	2.35 	2.44 	2.44 	2.52 	2.53 	2.56 	2.61 	2.67 b	2.82 	2.91 
A,G-U_ICT,IE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,G-U_ICT,IT	2.19 	2.15 	2.06 	2.08 	2.12 	2.09 	2.13 	2.2 	2.23 b	2.21 	2.23 	2.33 
A,G-U_ICT,LT	1.42 	1.59 	1.69 	1.81 	1.95 	2.09 	2.24 	2.34 	2.43 	2.5 b	2.65 	2.88 
A,G-U_ICT,LU	3.94 	4 	4.06 	4.05 	4.11 	4.17 	4.13 	4.15 	4.31 	4.38 	4.4 	4.44 
A,G-U_ICT,LV	1.82 	1.95 	2.05 	2.35 	2.5 	2.89 	3.14 	3.43 	3.66 	3.97 	3.95 	4.19 
A,G-U_ICT,MK	: 	: 	: 	: 	: 	: 	: 	1.35 p	: c	: c	: c	: 
A,G-U_ICT,MT	: c	: c	: c	: c	: c	: c	: c	: c	: c	3.71 	: c	3.74 
A,G-U_ICT,NL	2.96 	2.91 	2.94 	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,G-U_ICT,NO	2.69 	2.74 	2.77 	2.78 	2.79 	2.84 	2.89 	2.86 	2.92 	2.98 b	3.08 	3.2 
A,G-U_ICT,PL	1.28 	1.36 b	1.45 	1.54 	1.64 	1.73 	1.87 	2.04 	2.2 	2.26 b	2.42 	2.51 
A,G-U_ICT,PT	1.4 	1.44 	1.53 	1.62 	1.69 	1.73 	1.82 	1.87 	1.97 	2.09 	2.32 	2.53 
A,G-U_ICT,RO	1.31 p	1.32 	1.43 	1.5 	1.63 	1.71 	1.85 	2 	2.08 	2.22 b	2.28 	2.42 
A,G-U_ICT,SE	: c	: c	: c	3.87 	4.04 	3.9 	4.41 	4.47 	4.55 	4.61 b	4.75 	4.74 
A,G-U_ICT,SI	1.89 	1.93 	1.97 	2.04 	2.16 	2.19 	2.27 	2.31 	2.34 	2.38 	2.45 	2.62 
A,G-U_ICT,SK	1.34 	1.89 	2.15 	2.15 	: c	2.29 	2.39 	2.52 	2.65 	2.77 	2.87 	3.03 
A,G-U_ICT,UK	3.04 	3.09 	3.03 	2.88 	3.1 	: c	3.31 	: c	: c	: c	: 	: 
A,ICT,AT	2.3 	2.27 	2.31 	2.38 	2.43 	: c	2.48 	2.55 	2.61 	2.63 b	2.69 	2.82 
A,ICT,BE	2.85 	2.83 	2.7 	2.66 	2.73 	2.63 	2.6 	2.65 	2.69 	2.85 b	2.96 	2.96 p
A,ICT,BG	1.71 	1.79 	1.89 	2.02 	2.13 	2.19 	2.37 	2.59 	2.71 	2.85 b	3.01 	3.2 
A,ICT,CH	3.3 	2.97 b	2.97 	3.12 d	3.16 	3.22 	3.04 	3.11 	3.11 d	3.16 	3.25 	3.4 
A,ICT,CY	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,ICT,CZ	2.76 	2.7 	2.79 	2.79 	2.76 	2.81 	2.84 	2.96 	3.07 	3.13 	3.25 	3.35 
A,ICT,DE	2.26 	2.26 	2.38 	2.36 	2.47 	2.6 	2.66 	2.74 	2.82 	3.16 b	3.13 p	3.13 p
A,ICT,DK	3.13 	3.21 	4.15 	: c	: c	: c	: c	: c	: c	3.51 	3.59 	3.65 
A,ICT,EE	3.01 	3.09 	3.33 	3.41 	3.48 	3.58 	3.6 	3.69 	4.09 	4.3 b	4.75 	4.95 
A,ICT,EL	: c	: c	1.29 	1.37 	1.23 	1.48 	1.44 	1.43 	1.44 	1.46 b	1.52 	1.63 p
A,ICT,ES	2 	2.04 	2.11 	2.21 	2.19 	2.21 	: c	: c	: c	2.48 b	: c	: c
A,ICT,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.99 	3.11 
A,ICT,FI	4.04 	3.93 	3.84 	3.8 	3.7 b	: c	3.7 	: c	3.73 b	3.79 	3.88 	4.06 
A,ICT,FR	: 	2.81 	2.85 	2.91 	2.84 	2.99 b	2.96 b	2.97 be	3.07 be	3.07 	3.1 	3.29 
A,ICT,HR	1.8 	1.95 	1.96 	1.93 	2.21 	2.24 	2.34 	2.39 	2.49 	2.57 	2.67 b	2.84 
A,ICT,HU	3.41 	3.65 	3.71 	3.64 	3.53 	3.41 	3.42 	3.49 	3.56 	3.6 b	3.75 	3.75 
A,ICT,IE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,ICT,IT	: 	: 	2.36 	2.37 	2.38 	2.32 	2.35 	2.42 	2.44 b	2.43 	2.45 	: c
A,ICT,LT	: c	1.79 	1.87 	1.98 	2.07 	2.22 	2.36 	2.46 	2.57 	2.64 b	2.79 	3.03 
A,ICT,LU	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,ICT,LV	1.91 	2.05 	2.15 	2.47 	2.62 	3.03 	3.28 	3.59 	3.84 	4.15 	4.13 	4.38 
A,ICT,MK	: 	: 	: 	: 	: 	: 	: 	1.54 p	1.74 	1.9 	2.04 	: 
A,ICT,MT	4.28 	4.08 	4.4 	4.05 	3.97 	4.13 	4.42 	4.63 	4.64 	4.63 	4.66 	4.58 
A,ICT,NL	3.1 	3.04 	3.06 	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,ICT,NO	2.84 	2.89 	2.91 	2.9 	2.9 	2.95 	3 	2.96 	3.03 	3.08 b	3.19 	3.3 
A,ICT,PL	1.58 	1.71 b	1.76 	1.84 	1.91 	2 	2.14 	2.29 	2.47 	2.54 b	2.7 	2.78 
A,ICT,PT	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	2.73 
A,ICT,RO	1.5 p	1.52 	1.66 	1.71 	1.84 	1.95 	2.1 	2.27 	2.36 	2.52 b	2.63 	2.74 
A,ICT,SE	4.43 	4.47 	: c	: c	: c	4.49 	: c	: c	: c	4.8 b	4.93 	4.95 
A,ICT,SI	: c	2.32 	2.34 	2.41 	2.52 	2.52 	2.61 	2.63 	2.66 	2.72 	2.78 	2.95 
A,ICT,SK	2.2 	2.72 	2.85 	2.79 	: c	2.86 	2.92 	3.04 	3.18 	3.31 	3.35 	3.48 
A,ICT,UK	3.25 	3.31 	3.25 	3.09 	3.32 	3.41 	3.47 	3.6 b	3.64 	3.43 	: 	: 
